,Source,Target,Weight
0,Slurrpin,badabinglove,4
1,badabinglove,Slurrpin,3
2,badabinglove,ThatBelligerentSloth,1
3,badabinglove,cacheflow,1
4,badabinglove,45MonkeysInASuit,1
5,badabinglove,veggiesama,2
6,badabinglove,FSFlyingSnail,1
7,badabinglove,ihadtripsss,2
8,badabinglove,silverrain64,1
9,badabinglove,Sayakai,2
10,badabinglove,CaffeinatedStudents,1
11,badabinglove,Szyz,1
12,ThatBelligerentSloth,badabinglove,2
13,cacheflow,badabinglove,1
14,DeltaBot,badabinglove,1
15,Made_in_Murica,badabinglove,1
16,Made_in_Murica,super-commenting,1
17,adjason,Made_in_Murica,1
18,super-commenting,Made_in_Murica,1
19,45MonkeysInASuit,badabinglove,1
20,veggiesama,badabinglove,3
21,FSFlyingSnail,badabinglove,1
22,pensivegargoyle,badabinglove,1
23,skyelbow,pensivegargoyle,1
24,ihadtripsss,badabinglove,2
25,silverrain64,badabinglove,1
26,Sayakai,badabinglove,3
27,CaffeinatedStudents,badabinglove,2
28,Szyz,badabinglove,1
