,Source,Target,Weight
0,Raunchy_Potato,wobblyweasel,4
1,Raunchy_Potato,grandoz039,1
2,wobblyweasel,Raunchy_Potato,3
3,wobblyweasel,FlexPlexico12,5
4,wobblyweasel,onelasttimeoh,2
5,wobblyweasel,FrostbiteOrange,1
6,wobblyweasel,thedylanackerman,1
7,wobblyweasel,AurelianoTampa,5
8,wobblyweasel,PM_ME_UR_RACOON,7
9,wobblyweasel,cdb03b,3
10,wobblyweasel,Sheexthro,9
11,wobblyweasel,Positron311,2
12,wobblyweasel,kogus,3
13,wobblyweasel,kjdtkd,2
14,wobblyweasel,BrennanDobak,4
15,wobblyweasel,princekadakithis,3
16,wobblyweasel,RYouNotEntertained,2
17,wobblyweasel,acamann,1
18,grandoz039,Raunchy_Potato,2
19,FlexPlexico12,wobblyweasel,5
20,onelasttimeoh,wobblyweasel,2
21,FrostbiteOrange,wobblyweasel,1
22,thedylanackerman,wobblyweasel,1
23,AurelianoTampa,wobblyweasel,5
24,AurelianoTampa,PM_ME_UR_RACOON,2
25,PM_ME_UR_RACOON,wobblyweasel,7
26,PM_ME_UR_RACOON,AurelianoTampa,1
27,cdb03b,wobblyweasel,3
28,Sheexthro,wobblyweasel,10
29,Positron311,wobblyweasel,3
30,DeltaBot,wobblyweasel,2
31,kogus,wobblyweasel,3
32,kjdtkd,wobblyweasel,2
33,BrennanDobak,wobblyweasel,5
34,princekadakithis,wobblyweasel,4
35,RYouNotEntertained,wobblyweasel,3
36,acamann,wobblyweasel,1
